ID,zinString,missing,video_base,Nederlands,GvG,glossen,eaf_value_counts
1016,We gaan naar Groep Vis.,ned,M20241107_6399,False,True,True,"{'Gebaar-voor-gebaar': 5, 'Nederlands': 0, 'Signbank ID glossen': 5}"
904,"als het echt niet gaat, dan kunnen we je altijd komen halen.",gvg,M20241107_6309,True,False,True,"{'Gebaar-voor-gebaar': 10, 'Nederlands': 1, 'Signbank ID glossen': 7}"
