zinString
ga je maar aankleden
Ga maar zitten
"Het wordt heel warm, dus je hoeft alleen maar een jurkje aan."
Je hebt geen jas nodig.
Je mag zelf je kleren uitzoeken
"je moet sokken aan, want je krijgt dichte schoenen aan."
"je moet toch een lange broek aan, want het wordt fris vandaag."
"Kom maar, gaan we kleertjes aandoen?"
"Kom, dan doen we nog even wat gel in je haar."
"Kom, dan zetten we je pet op."
"Kom, we gaan je kleertjes pakken."
Dit boek nemen we mee naar huis.
gaan we boekjes uitzoeken?
Gaan we deze boekjes lenen?
"Ja, zullen wij dit boekje even lezen?"
"Kijk, daar is een boek van Kikker."
We hebben nu genoeg boekjes.
Even bij mama blijven.
Ga je straks mee boodschappen doen met papa of wil je dat met mama doen?
Je kan niet alles hebben.
Kan je het zelfscan-apparaatje even pakken en even bliepen/scannen?
Kan je me even helpen met de boodschappen opruimen?
Kan je voor mij het pak melk pakken?
"kom, we gaan boodschappen doen"
leg maar terug.
Loop maar alvast naar het brood.
Mama gaat even pinnen.
mama gaat nu even de kaas pakken.
"Nee, dat mag je niet hebben."
"O, we moeten nog kip hebben."
pak jij de ham even?
Pak jij het boodschappenkarretje?
vraag maar om zegeltjes aan de kassamevrouw.
Wat voor groenten wil je kopen?
Wat voor toetje zullen we kopen?
Wat wil je morgen eten?
We doen de boodschappen in de tas.
we gaan de kar/boodschappenwagen weer terugzetten.
Daar zijn mooie bloemen.
"Kijk, daar groeien plantjes."
"Kijk, het plantje is al groot."
We gaan naar de moestuin.
Dat hebben we goed gedaan.
Dat is echt lief van jou.
Dat is een goed idee.
Dit kon je eerst nog niet en nu kan je het gewoon.
Goed gedaan!
Goed gegeten.
goed opgeruimd.
Goed stil gezeten.
goed zo!
Het is duidelijk dat je al vier bent.
het is duidelijk dat je echt al een grote meid bent.
"Het was lastig, maar we hebben het toch goed gedaan."
Ik vind echt dat je het knap hebt gedaan.
Ik vind het heel goed dat je dit zo doet.
Je bent blijven oefenen en nu kan je iets wat je eerst niet kon.
Je bent echt goed in het spel.
Je bent een schatje.
Je bent geweldig.
Je bent lief.
Je bent mooi.
Je bent superlief voor anderen.
Je bent zo lekker bezig geweest.
Aai maar over zijn neus.
Als de kat krabt geeft hij echt aan dat je te ver gaat.
"Als je het heel voorzichtig doet, mag je het lieveheersbeestje bekijken."
Daar is een eekhoorn.
De cavia voelt lekker zacht.
De kat is aan het spelen.
De kat komt een kopje geven.
"De poes is dood, dat is wel jammer."
De poes is een beetje bang.
De poes kan krabben.
De poes schrikt van jou.
Denk je dat het paardje lekker zacht is?
Die spin is echt banger voor jou dan jij voor hem.
"Dieren kunnen niet praten, maar dat betekent niet dat ze niet kunnen voelen."
Doe de brokjes maar in het bakje.
Eerst aan het baasje vragen of je de hond mag aaien.
Er loopt een poes buiten.
"Ga de hond maar aaien, dat vindt hij fijn."
Ga je mee de geitjes voeren?
"Ga rustig zitten, dan komt de hond vanzelf wel naar je toe."
Geen beestjes pakken.
"Gezellig hï¿½, dat de poes er is."
Het konijn vindt jou ook lief.
Hoe beweegt een eend in het water?
Hoe voelt de vacht van een konijn aan?
Hoe ziet de poep van die dieren eruit?
Hoe ziet de staart van een varken eruit?
Hoeveel apen zijn er?
De dokter gaat even kijken of jouw oogjes goed zijn.
De dokter gaat je helpen.
De dokter gaat nu met het lampje kijken.
De dokter gaat straks naar je buik kijken.
de dokter is heel lief.
De dokter komt er zo aan en dan leg je dat speelgoed weg.
De dokter weet heel veel van je lichaam.
"Ik ga zelf ook wel eens naar de dokter, dan helpt de dokter mij ook."
Je hoeft geen prikje bij de dokter.
Je krijgt misschien wel een pilletje of zalfje van de dokter.
kijk anders maar even weg tijdens het prikje.
"Kijk maar niet naar het prikje, kijk naar de knuffel."
Ben je blij?
"ben je boos, omdat je trein wordt afgepakt?"
ben je een beetje jaloers?
Ben je er klaar voor?
Ben je geschrokken?
ben je naar de juf gegaan?
Ben je verdrietig?
Ben jij verdrietig dat opa er niet meer is?
Dat gaat wel over.
Dat had ik anders van je verwacht.
Dat heb je wel eens.
Dat is geen fijn gevoel.
dat is heel vervelend
dat is inderdaad niet leuk
Dat is niet zo aardig.
Dat vindt Casper niet leuk.
De andere kindjes komen ook.
Dit is echt niet okï¿½.
Gaat alles goed?
Heb je gevraagd of hij wilde stoppen?
heb je gezegd wat je ervan vindt?
Heb je het naar je zin?
Het heeft niks met jou te maken.
Het is logisch dat je nu even verdrietig bent.
"Het is okï¿½ dat je moet huilen, maar nu is het wel even klaar."
"Het is okï¿½ om een beetje bang te zijn, papa en mama zijn hier bij je."
Het komt goed.
Hoe denk je dat hij zich voelt?
Hoe kan dat?
iedereen is anders.
iedereen mag zijn wie die is.
Ik begrijp dat je je zo voelt.
"Ik begrijp waarom je boos bent, maar we moeten soms dingen anders doen."
Ik ben bij je.
Ik ben nu heel boos.
Ik ben zo blij voor je dat je dit nu is gelukt.
Ik ben zo trots op jou.
Ik hou heel veel van je.
ik laat je heel even.
"Ik snap dat je boos bent, maar het is even niet anders."
"Ik snap dat je het vervelend vindt dat mama nu met je broer bezig is, maar je moet nu even wachten."
"Ik snap dat je nu boos bent omdat je niet mag spelen, maar we gaan nu eten."
Ik snap het.
"Ik vind drie keer vragen genoeg, kun je nu gewoon luisteren."
Je moet minstens ï¿½ï¿½n hapje proeven.
Je moet wel wat kiezen.
Zometeen kan je iets vertellen.
"Als je je zwembandjes omdoet, dan kunnen we samen in het diepere bad gaan."
Je mag zelf je kleren uitzoeken
Je mag zelf je kleren uitzoeken
eerst je broek aan
