Zin;Context;Vertaling NGT/opmerking;Bijbehorende uitleg/grammatica;Naam;;
Is je mond leeg?;Eten en drinken;;;Diego;;
je gaat lekker melk drinken.;Eten en drinken;;;Diego;;
Je hebt al een dropje gehad vandaag.;eten en drinken;;;Diego;;
Je hebt al een kaasstengel gehad.;eten en drinken;;;Diego;;
Je hebt op de opvang al een ijsje gehad, dus dat gaan we niet doen.;eten en drinken;;;Diego;;
Je kan niet zeggen dat je het niet lekker vindt als je het nooit geproefd hebt.;eten en drinken;;;Diego;;
Je krijgt geen snoepje.;Eten en drinken;;;Diego;;
Je mag een glas limonade.;eten en drinken;;;Diego;;
je mag een hapje van mijn broodje.;eten en drinken;;;Diego;;
Je mag een stuk paprika.;Eten en drinken;;;Diego;;
je mag er eentje kiezen die je niet wilt eten.;eten en drinken;;;Diego;;
Je mag geen waterijsje.;eten en drinken;;;Diego;;
Je mag je melk als je een paar happen hebt gegeten.;eten en drinken;;;Diego;;
Je mag nog even spelen, daarna gaan we eten.;Eten en drinken;;;Diego;;
Je mag straks een lolly.;Eten en drinken;;;Diego;;
Je mag straks op schoot, als mama klaar is met eten.;eten en drinken;;;Diego;;
Je moet eerst nog handen wassen. ;Eten en drinken;;;Diego;;
Je moet minstens één hapje proeven.;Eten en drinken;;;Diego;;
Je moet veel drinken, anders krijg je hoofdpijn en buikpijn.;eten en drinken;;;Diego;;
Je moet wel wat kiezen.;eten en drinken;;;Diego;;
Je zit helemaal onder. (situatie: tijdens het eten);Eten en drinken;;;Diego;;
Jij had net pindakaas, zullen we nu jam op je boterham doen?;eten en drinken;;;Diego;;
jongens, over 10 minuten gaan we echt eten.;Eten en drinken;;;Diego;;
Kan je voor mij de boter in de koelkast leggen?;eten en drinken;;;Diego;;
Kies maar een snoepje uit.;eten en drinken;;;Diego;;
Kijk maar even in de pannetjes.;Eten en drinken;;;Diego;;
Kijk, je broertje eet het wel.;Eten en drinken;;;Diego;;
Kom maar, ik zet je even in je stoel.;Eten en drinken;;;Diego;;
Kom maar, we gaan nog even wat drinken;Eten en drinken;;;Diego;;
Kom op, even je eten opeten.;Eten en drinken;;;Diego;;
kom, ga weer even aan tafel zitten.;Eten en drinken;;;Diego;;
kom, we gaan de bordjes op tafel zetten;eten en drinken;;;Diego;;
Kom, we gaan picknicken.;eten en drinken;;;Diego;;
Korstjes opeten.;eten en drinken;;;Diego;;
Laat dat maar op de tafel staan. ;Eten en drinken;;;Diego;;
laat de rijst liggen.;Eten en drinken;;;Diego;;
Laat je beker maar staan.;Eten en drinken;;;Diego;;
Lekker hè komkommer?;Eten en drinken;;;Diego;;
Lust je nog een krentenbol?;Eten en drinken;;;Diego;;
Lust je tomaat?;Eten en drinken;;;Diego;;
Mag ik je bord?;Eten en drinken;;;Diego;;
Mama gaat het even snijden, nog even geduld.;Eten en drinken;;;Diego;;
Mama moet dit even afmaken.;Eten en drinken;;;Diego;;
Met je mes moet je op je bord snijden, niet in je hand.;Eten en drinken;;;Diego;;
Moet de dop erop?;Eten en drinken;;;Diego;;
Na het eten mag je een snoepje.;Eten en drinken;;;Diego;;
Nee nu niet, we gaan dadelijk al eten.;eten en drinken;;;Diego;;
Nee, de koekjes zijn voor straks.;Eten en drinken;;;Diego;;
Nee, dit is koffie, dat is niet voor kindjes.;eten en drinken;;;Diego;;
Nee, je mag geen hele stroopwafel, we doen een halve.;Eten en drinken;;;Diego;;
Nee, je mag nog niet van tafel.;Eten en drinken;;;Diego;;
Nee, je mag nu geen chips.;Eten en drinken;;;Diego;;
netjes eten.;eten en drinken;;;Tobias;;
Niet gooien met je brood;eten en drinken;;;Tobias;;
Niet in je haar smeren.;Eten en drinken;;;Tobias;;
niet je vork op de grond gooien.;Eten en drinken;;;Tobias;;
Niet met je beker op de tafel slaan.;Eten en drinken;;;Tobias;;
Niet praten met je mond vol.;Eten en drinken;;;Tobias;;
Niet spelen met eten.;eten en drinken;;;Tobias;;
Niet van je bord gooien;eten en drinken;;;Tobias;;
nog een kwartiertje en dan is het eten klaar.;Eten en drinken;;;Tobias;;
Nog een paar hapjes.;eten en drinken;;;Tobias;;
Nog even wachten.;Eten en drinken;;;Tobias;;
nog vijf happen en dan is het oké.;Eten en drinken;;;Tobias;;
Nu is de tafel nat.;eten en drinken;;;Tobias;;
Oh heb je geknoeid? ;Eten en drinken;;;Tobias;;
Oh, je vork is gevallen.;Eten en drinken;;;Tobias;;
Oh, nou ben je helemaal nat. ;Eten en drinken;;;Tobias;;
Oh, nou is je romper nat.;Eten en drinken;;;Tobias;;
Ook een hapje groenten eten, dat is goed voor je buik.;Eten en drinken;;;Tobias;;
Pak de hagelslag en de pindakaas.;Eten en drinken;;;Tobias;;
Pak maar een stuk fruit.;eten en drinken;;;Tobias;;
pakken jullie het bestek?;eten en drinken;;;Tobias;;
Papa maakt even de aardbeien schoon.;eten en drinken;;;Tobias;;
papa moet dit nog even doen.;Eten en drinken;;;Tobias;;
Pas op, het is heet.;Eten en drinken;;;Tobias;;
Prik maar met je vork.;Eten en drinken;;;Tobias;;
prima als je het niet meer hoeft, maar dan krijg je geen toetje.;Eten en drinken;;;Tobias;;
probeer eens;eten en drinken;;;Tobias;;
Smeer maar niet over de tafel.;Eten en drinken;;;Tobias;;
Suiker is niet gezond.;Eten en drinken;;;Tobias;;
Vandaag geen stroopwafel, je hebt net al drop gehad.;eten en drinken;;;Tobias;;
Veeg je handen af aan je servet, niet aan je kleren.;Eten en drinken;;;Tobias;;
Vergeet niet goed te drinken.;eten en drinken;;;Tobias;;
Voetjes op de stoel.;eten en drinken;;;Tobias;;
wacht even tot na het eten.;Eten en drinken;;;Tobias;;
Wat heb jij gegeten? Er zit iets groens tussen je tanden.;eten en drinken;;;Tobias;;
Wat vind je lekker?;eten en drinken;;;Tobias;;
Wat vind je niet lekker?;Eten en drinken;;;Tobias;;
wat voor zoet beleg wil je?;eten en drinken;;;Tobias;;
Wat wil je drinken?;eten en drinken;;;Tobias;;
Wat wil je eten?;Eten en drinken;;;Tobias;;
Wat wil je op je boterham?;Eten en drinken;;;Tobias;;
Wat wil je voor lunch?;eten en drinken;;;Tobias;;
Wat wil je?;eten en drinken;;;Manouk;;
We bewaren het lekkers voor het toetje.;Eten en drinken;;;Manouk;;
We doen je even een slab om.;eten en drinken;;;Manouk;;
We eten eerst een hartige boterham en daarna zoet.;Eten en drinken;;;Manouk;;
We eten rijst vandaag;eten en drinken;;;Manouk;;
We gaan aan tafel zitten.;Eten en drinken;;;Manouk;;
We gaan eerst even eten, dan spelen;eten en drinken;;;Manouk;;
We gaan eten.;Eten en drinken;;;Manouk;;
we gaan lekker vissticks eten.;Eten en drinken;;;Manouk;;
We gaan nu een toetje eten.;eten en drinken;;;Manouk;;
We gaan ontbijten.;Eten en drinken;;;Manouk;;
We gaan zo fruit eten.;eten en drinken;;;Manouk;;
We hebben nog tien minuten, zorg dat je je crackers op hebt.;Eten en drinken;;;Manouk;;
We maken even je handjes schoon.;eten en drinken;;;Manouk;;
We moeten wel goed eten.;Eten en drinken;;;Manouk;;
We vegen even je handjes af.;eten en drinken;;;Manouk;;
we zitten nu bijna een uur aan tafel, ik heb wel zin om andere leuke dingen te gaan doen.;Eten en drinken;;;Manouk;;
Wel je groenten eten.;eten en drinken;;;Manouk;;
Welk hartig beleg wil je? ;Eten en drinken;;;Manouk;;
Welke smaak ijs wil je?;eten en drinken;;;Manouk;;
Wil je alvast even proeven?;Eten en drinken;;;Manouk;;
Wil je appelstroop?;eten en drinken;;;Manouk;;
wil je crackers of wil je muesli?;Eten en drinken;;;Manouk;;
Wil je echt niet wat proberen?;eten en drinken;;;Manouk;;
Wil je een broodje?;Eten en drinken;;;Manouk;;
Wil je een mandarijn of een peer?;Eten en drinken;;;Manouk;;
wil je een soepstengel?;Eten en drinken;;;Manouk;;
Wil je er nog meer?;Eten en drinken;;;Manouk;;
Wil je het zelf doen?;Eten en drinken;;;Manouk;;
Wil je hummus of hagelslag op je boterham?;Eten en drinken;;;Manouk;;
Wil je kwark of wil je yoghurt?;eten en drinken;;;Manouk;;
Wil je mee de tafel dekken?;eten en drinken;;;Manouk;;
Wil je melk of water?;eten en drinken;;;Manouk;;
Wil je nog een slokje water?;eten en drinken;;;Manouk;;
Wil je nog iets drinken?;eten en drinken;;;Manouk;;
Wil je pannenkoeken of poffertjes?;eten en drinken;;;Manouk;;
Wil je wat drinken?;eten en drinken;;;Manouk;;
Wil je wat eten?;eten en drinken;;;Manouk;;
Wil jij de champignons snijden?;eten en drinken;;;Manouk;;
Willen jullie een banaan?;eten en drinken;;;Tobias;;
Zal ik je beker nog even vullen?;eten en drinken;;;Tobias;;
zit je buik vol?;Eten en drinken;;;Tobias;;
Zorg dat de kruimels op je bord vallen.;Eten en drinken;;;Tobias;;
Zorg dat je je thee ook drinkt.;eten en drinken;;;Tobias;;
Zorg dat je tijdens het eten ook drinkt.;eten en drinken;;;Tobias;;
Als je me niet ziet, ben ik even in het washok.;eten en drinken;;;Tobias;;
Ik ben even buiten de planten water geven.;Even weg;;;Henrianne;;
Ik ben even in de tuin.;even weg;;;Henrianne;;
Ik ben even weg, ik ben zo terug.;even weg;;;Henrianne;;
Ik ben niet ver weg ;even weg;;;Diego;;
Ik ga even boven de was doen.;Even weg;;;Diego;;
Ik ga even het vuilnis wegbrengen.;even weg;;;Diego;;
Ik ga eventjes naar boven.;even weg;;;Tobias;;
Ik kom eraan.;even weg;;;Tobias;;
Laat maar weten als je iets nodig hebt;even weg;;;Manouk;;
Hoe oud denk je dat opa is?;Even weg;;;Manouk;;
Jij moet even wachten en dan gaan we naar je tante.;familie;;;Henrianne;;
jouw opa is al dood.;familie;;;Henrianne;;
Mijn broer is jouw oom.;familie;;;Henrianne;;
Mijn mama is jouw oma.;familie;;;Henrianne;;
Mis je opa?;familie;;;Henrianne;;
Misschien ga je wel iets leuks doen bij opa en oma.;familie;;;Henrianne;;
Morgen ben je de hele dag bij jouw neefjes.;familie;;;Henrianne;;
Morgen brengt oma je weer naar huis.;familie;;;Henrianne;;
Morgen brengt opa je naar de opvang.;familie;;;Diego;;
Oma komt morgen weer oppassen.;familie;;;Diego;;
Opa en oma gaan ook mee.;familie;;;Diego;;
Opa en oma zijn getrouwd met elkaar, dat betekent dat ze verliefd zijn op elkaar en besloten hebben voor altijd bij elkaar te blijven.;familie;;;Diego;;
Opa en oma zijn heel lief.;familie;;;Diego;;
Opa heeft een beetje hoofdpijn.;familie;;;Diego;;
Opa is bij de sterretjes.;familie;;;Diego;;
Opa is een beetje ziek.;familie;;;Diego;;
Priya is jouw nicht.;familie;;;Tobias;;
Vind je je papa oud, of niet?;Familie;;;Tobias;;
Wat ben jij van mij?;familie;;;Tobias;;
Wat zou je graag willen zeggen tegen opa?;familie;;;Tobias;;
we gaan naar je tante.;familie;;;Tobias;;
we gaan oma even bellen.;familie;;;Manouk;;
Weet je hoe oud je neef is geworden?;familie;;;Manouk;;
Als iemand dood is, kan je nog wel aan die persoon denken.;familie;;;Manouk;;
Heb je zin in je fles?;Familie & personen;;;Manouk;;
Het is op.;fles;;;Henrianne;;
Hier is je fles.;fles;;;Henrianne;;
We gaan een flesje drinken.;fles;;;Diego;;
Wil je nog meer?;fles;;;Tobias;;
Stop daar maar mee, dat klinkt voor ons heel hard en dat is niet prettig.;fles;;;Manouk;;
We kunnen straks samen oefenen met nieuwe geluiden. ;Geluiden;;;Henrianne;;
Droog je handen maar af.;Geluiden;;;Diego;;
Wil je een staartje in?;Handen wassen;;;Diego;;
Wil je iets in je haar?;haren doen;;;Henrianne;;
Zal ik staartjes bij je maken?;haren doen;;;Henrianne;;
ga je haar even kammen.;haren doen;;;Henrianne;;
Ga je zelf je haren kammen?;Haren kammen;;;Henrianne;;
Heb je je haar al gekamd?;Haren kammen;;;Henrianne;;
Wil je een vlecht?;haren kammen;;;Henrianne;;
Zal ik je haar kammen?;haren kammen;;;Henrianne;;
Ach, je krijgt weer tandjes erbij.;haren kammen;;;Henrianne;;
Als je gaat eten, dan gaat het eten eerst naar je maag, dan naar je darmen en dan wordt er poep van gemaakt.;Het lichaam;;;Henrianne;;
als je gezond eet, heb je ook gezonde poep ;Het lichaam;;;Henrianne;;
als je niet gezond eet, wordt je poep moeilijker en kan het pijn doen.;Het lichaam;;;Henrianne;;
Als je wat ouder wordt, dan krijg je ook haar onder je oksels en bij je vulva.;Het lichaam;;;Henrianne;;
als je wat ouder wordt, dan verandert je lichaam.;Het lichaam;;;Henrianne;;
Dat zijn je tepels.;Het lichaam;;;Henrianne;;
De baby komt uit mama's buik.;Het lichaam;;;Henrianne;;
Heb je al je tenen nog? Zullen we even tellen?;Het lichaam;;;Henrianne;;
Heb je al je vingers nog?;Het lichaam;;;Diego;;
Ja, dat is je buik.;Het lichaam;;;Diego;;
je billen kan je niet zo goed zien. Die zitten van achteren.;Het lichaam;;;Diego;;
Je hebt bruine ogen.;het lichaam;;;Diego;;
Je hebt vroeger ook melk gedronken uit mama's borsten.;het lichaam;;;Diego;;
Je krijgt nieuwe tandjes.;het lichaam;;;Diego;;
Je lichaam heeft genoeg eten en drinken nodig.;Het lichaam;;;Diego;;
Je lichaam heeft slaap nodig.;het lichaam;;;Diego;;
Later krijg jij ook borsten.;het lichaam;;;Tobias;;
Mama is een meisje en jij bent een jongen.;het lichaam;;;Tobias;;
Sommige mensen scheren hun okselhaar, en sommigen niet. ;Het lichaam;;;Tobias;;
Waar is jouw neus? ;het lichaam;;;Tobias;;
Waar zijn je knietjes?;Het lichaam;;;Tobias;;
Waar zijn je voetjes? ;Het lichaam;;;Tobias;;
Waar zijn mama's oortjes?;Het lichaam;;;Manouk;;
Waar zitten je duimpjes?;Het lichaam;;;Manouk;;
wie is een jongen?;Het lichaam;;;Manouk;;
wie is een meisje?;Het lichaam;;;Manouk;;
Wijs maar aan.;Het lichaam;;;Manouk;;
De bank is om op te zitten.;Het lichaam;;;Manouk;;
Doe de deur maar dicht.;huis;;;Henrianne;;
Doe de deur maar open.;Huis;;;Henrianne;;
doe het traphekje maar dicht.;Huis;;;Henrianne;;
Druk maar op het knopje.;huis;;;Henrianne;;
Even binnen blijven.;Huis;;;Henrianne;;
Even buiten blijven.;Huis;;;Henrianne;;
Even de lamp aanzetten.;Huis;;;Henrianne;;
Even in de slaapkamer blijven.;Huis;;;Henrianne;;
ga maar op je stoel zitten.;Huis;;;Henrianne;;
Het bed is om in te slapen.;huis;;;Diego;;
Jij mag even op je kamer spelen.;huis;;;Diego;;
jij slaapt op zolder.;huis;;;Diego;;
Lees maar even een boekje.;huis;;;Diego;;
Niet aan de gordijnen zitten.;huis;;;Diego;;
niet op de bank springen.;huis;;;Diego;;
Niet op het bed springen.;huis;;;Diego;;
Oh, de bel gaat, even de deur open doen.;huis;;;Diego;;
pak het krukje maar.;Huis;;;Diego;;
Waar ga je naartoe?;huis;;;Tobias;;
Waar is het krukje?;huis;;;Tobias;;
Wat is het donker hier;huis;;;Tobias;;
we gaan naar beneden.;Huis;;;Manouk;;
we gaan naar boven ;huis;;;Manouk;;
Zo even de lampen uitzetten, die hoeven nu niet meer aan.;huis;;;Manouk;;
Dat ging heel goed.;Huis;;;Manouk;;
De kapper gaat jou ook zo knippen.;kapper;;;Henrianne;;
De kapper gaat nu je haar knippen.;kapper;;;Henrianne;;
De kapper kan wel goed knippen, hè?;kapper;;;Henrianne;;
Die mevrouw gaat dadelijk jouw haartjes knippen.;kapper;;;Henrianne;;
Er moet juist een stukje af als je lang haar wil.;kapper;;;Henrianne;;
Het doet niet pijn om je haar te knippen.;Kapper;;;Henrianne;;
het duurt niet lang, maar de kapper moet heel even goed kunnen knippen.;kapper;;;Diego;;
Ik hou je handjes wel even vast.;kapper;;;Diego;;
Je mag bij mama op schoot.;kapper;;;Diego;;
Kijk maar in de spiegel.;kapper;;;Diego;;
Kijk, de kapper heeft een schaar.;kapper;;;Diego;;
Maak je maar geen zorgen.;kapper;;;Diego;;
mama gaat nog even betalen.;kapper;;;Tobias;;
Nu moet je heel even heel goed stilzitten.;kapper;;;Tobias;;
op welke stoel wil je zitten?;kapper;;;Tobias;;
Wat zijn je haartjes mooi!;kapper;;;Manouk;;
wil je wel of geen schort?;kapper;;;Manouk;;
Die of die, anders gaat mama kiezen.;kapper;;;Manouk;;
Kun je niet zo goed kiezen?;kiezen;;;Henrianne;;
zal ik je helpen kiezen?;kiezen;;;Henrianne;;
daar is de grote tractor.;kiezen;;;Diego;;
Er zijn baby geitjes.;kinderboederij;;;Henrianne;;
hier kun je spelen.;kinderboederij;;;Henrianne;;
Kijk, daar is het grote varken.;kinderboederij;;;Diego;;
Nee dat is voor de geitjes, niet voor jullie.;kinderboederij;;;Diego;;
Zou de haan er ook zijn?;kinderboederij;;;Tobias;;
Zullen we de geitjes een flesje geven?;kinderboederij;;;Manouk;;
Dat wordt mooi.;kinderboederij;;;Manouk;;
De schaar zo vastpakken.;knutselen;;;Henrianne;;
Dit is een knutselboek.;Knutselen;;;Henrianne;;
Dit is rood;Knutselen;;;Henrianne;;
Doe de kwast maar in het water.;knutselen;;;Henrianne;;
Doe je verfschort maar aan.;knutselen;;;Henrianne;;
Ga je een tekening maken?;knutselen;;;Diego;;
Ga je iets moois maken voor mama?;knutselen;;;Diego;;
Ga maar lekker kleuren, want ik wil ook een gesprek kunnen voeren.;Knutselen;;;Diego;;
Heb je twee tekeningen gemaakt? Echt waar?;knutselen;;;Diego;;
Mama pakt even schoon water.;knutselen;;;Diego;;
Neem je kleurpotloden maar mee;knutselen;;;Henrianne;;
Nu moet de verf even drogen.;knutselen;;;Henrianne;;
Spoel de kwast maar af.;knutselen;;;Diego;;
Wat ben je aan het tekenen? ;knutselen;;;Diego;;
wat ga je maken? Wat wordt het?;knutselen;;;Tobias;;
Wat heb je geverfd?;knutselen;;;Tobias;;
Wat moet mama erbij schrijven?;knutselen;;;Tobias;;
Wat staat er op deze tekening?;knutselen;;;Tobias;;
Wat wil je maken?;knutselen;;;Tobias;;
Wat zullen we maken?;knutselen;;;Tobias;;
We leggen er even een placemat onder, anders wordt de tafel vies.;knutselen;;;Tobias;;
We moeten wel het verfschort aandoen, anders worden je kleren vies.;knutselen;;;Manouk;;
Welke kleur is dat?;knutselen;;;Manouk;;
Wil jij kleuren?;knutselen;;;Manouk;;
Zou je het met lijm kunnen plakken, of heb je plakband nodig?;knutselen;;;Manouk;;
Zullen we een nieuw papiertje pakken?;knutselen;;;Manouk;;
Zullen we vingerverven?;knutselen;;;Manouk;;
De oven kan altijd heet zijn.;knutselen;;;Manouk;;
Doe de lepel maar in de pan.;Koken;;;Henrianne;;
Je moet altijd even vragen of het fornuis heet is.;Koken;;;Henrianne;;
Kan je de eitjes pakken?;koken;;;Henrianne;;
Kijk uit voor je vingers.;koken;;;Diego;;
Mama gaat nu koken.;koken;;;Diego;;
Tijdens het koken niet bij het gasfornuis komen.;koken;;;Diego;;
Vingers in een klauwtje tijdens het snijden.;koken;;;Tobias;;
Voorzichtig, de pan is heet.;koken;;;Tobias;;
Wil je de aardappelen straks in de pan doen?;koken;;;Tobias;;
Wil je in de pan roeren?;koken;;;Manouk;;
Zullen we de groenten wassen?;koken;;;Manouk;;
Zullen we even checken of de pasta al gaar is?;koken;;;Manouk;;
ga je kruipen? ;koken;;;Manouk;;
ga je zelf staan?;leren lopen;;;Henrianne;;
Ga maar naar de keuken;leren lopen;;;Henrianne;;
hou je maar vast aan de bank;leren lopen;;;Diego;;
loop maar naar mama;leren lopen;;;Diego;;
probeer het zelf maar ;leren lopen;;;Tobias;;
zal ik je hand vasthouden? ;leren lopen;;;Tobias;;
als het echt niet gaat, dan kunnen we je altijd komen halen.;leren lopen;;;Manouk;;
Deze keer ga je twee nachtjes bij opa slapen.;Logeren;;;Henrianne;;
Heb je je knuffels gepakt?;Logeren;;;Henrianne;;
het is maar voor één nachtje en we zijn heel dichtbij.;Logeren;;;Henrianne;;
Ik zie je morgen weer.;logeren;;;Henrianne;;
Je gaat met oma fietsen.;logeren;;;Henrianne;;
Je knuffel gaat mee.;logeren;;;Diego;;
Je mag bij opa lekker spelen.;logeren;;;Diego;;
Je moet extra kleren inpakken.;logeren;;;Diego;;
Je speen gaat mee.;logeren;;;Diego;;
Jouw oom en tante vinden het heel leuk dat je komt.;logeren;;;Diego;;
Mama gaat even je tas inpakken.;logeren;;;Tobias;;
mama gaat nu naar huis.;logeren;;;Tobias;;
Morgen ga je daar ontbijten en dan kom ik je ophalen.;logeren;;;Tobias;;
Opa en oma maken een bedje voor je klaar.;logeren;;;Tobias;;
Papa en mama komen je vanavond weer halen.;logeren;;;Tobias;;
We zien je over twee nachtjes weer.;logeren;;;Manouk;;
Weet je nog hoe hun huis eruit ziet?;logeren;;;Manouk;;
Welke kleren wil je mee?;logeren;;;Manouk;;
Wil je nog speelgoed meenemen?;logeren;;;Manouk;;
Zaterdag mag je bij oma gaan slapen!;logeren;;;Manouk;;
Zullen we de koffer even pakken?;logeren;;;Tobias;;
even een doekje pakken.;logeren;;;Manouk;;
Even een luier pakken.;Luier;;;Henrianne;;
Even je billen schoonmaken.;Luier;;;Henrianne;;
Het is zo klaar. ;Luier;;;Henrianne;;
Je hebt een vieze luier;Luier;;;Diego;;
je hebt gepoept ;Luier;;;Diego;;
Nee, niet omdraaien.;Luier;;;Diego;;
Nog één doekje, bijna klaar.;Luier;;;Tobias;;
Nog even je overbroekje dicht doen.;Luier;;;Tobias;;
Oh, de doekjes zijn op.;Luier;;;Tobias;;
Rustig blijven liggen. ;Luier;;;Manouk;;
We gaan even je luier verschonen;Luier;;;Manouk;;
Alle kindjes slapen al.;Luier;;;Manouk;;
als je morgenochtend wakker wordt, ben ik er gewoon weer.;naar bed;;;Henrianne;;
Bedenk maar fijne dromen voor jezelf.;naar bed;;;Henrianne;;
De buren slapen ook al.;naar bed;;;Henrianne;;
de dag is weer voorbij.;naar bed;;;Henrianne;;
Eerst je hoofd erdoor en nu je armen.;naar bed;;;Henrianne;;
Ga je pyjama aandoen.;naar bed;;;Henrianne;;
ga maar in je bed.;naar bed;;;Henrianne;;
Ga maar lekker liggen.;naar bed;;;Henrianne;;
heb je alles in bed wat je wil?;naar bed;;;Henrianne;;
Heb je een leuke dag gehad?;naar bed;;;Henrianne;;
Heb je naar gedroomd?;naar bed;;;Diego;;
Het is al donker buiten.;naar bed;;;Diego;;
het is echt al bedtijd geweest nu.;naar bed;;;Diego;;
het is heel warm vannacht, dus een onderbroek en een hemd is genoeg.;naar bed;;;Diego;;
het is nu echt tijd om te gaan slapen.;naar bed;;;Diego;;
Het wordt donker om ongeveer 8 uur.;naar bed;;;Diego;;
Het wordt licht om half zeven.;naar bed;;;Diego;;
Hier heb je je knuffel ;naar bed;;;Diego;;
Hier is je speen.;naar bed;;;Diego;;
Ik aai nog even over je hoofd.;naar bed;;;Diego;;
Ik ga jouw pyjama pakken.;naar bed;;;Henrianne;;
Ik hoop dat je lekker kan dromen.;Naar bed;;;Henrianne;;
Ik hou van je, slaap lekker.;naar bed;;;Diego;;
Ik kom je morgenochtend weer halen.;naar bed;;;Diego;;
ik wil jullie echt om half 9 in bed hebben.;naar bed;;;Tobias;;
Ja, ik blijf thuis.;naar bed;;;Tobias;;
je bent bij groep Muis geweest.;naar bed;;;Tobias;;
je hebt lekker buiten gespeeld,;naar bed;;;Tobias;;
Je kan wel in je ondergoed slapen;naar bed;;;Tobias;;
Je mag een pyjama aan, maar het wordt wel heel warm vannacht.;naar bed;;;Tobias;;
Je wordt moe hè?;naar bed;;;Tobias;;
Kom maar, doe je arm er maar doorheen.;naar bed;;;Tobias;;
kom, we gaan even een warme pyjama uitzoeken, want het is heel koud buiten.;naar bed;;;Tobias;;
Mama gaat straks ook slapen.;naar bed;;;Tobias;;
morgen is er weer een dag.;naar bed;;;Tobias;;
morgen moet je weer vroeg op.;naar bed;;;Manouk;;
Nee, jouw broer gaat nu ook naar bed, dus jij gaat ook naar bed.;naar bed;;;Manouk;;
Nog 10 tellen en dan gaan we naar bed.;naar bed;;;Manouk;;
Slaap lekker, ik zie je morgen.;naar bed;;;Manouk;;
stil zijn, je broertje slaapt al.;naar bed;;;Manouk;;
Trek je pyjama maar aan dan ga ik daarna een verhaaltje voorlezen.;naar bed;;;Manouk;;
Waarom kan je niet slapen?;Naar bed;;;Manouk;;
Wat gaan we aandoen?;Naar bed;;;Manouk;;
Wat vond je het stomste vandaag?;naar bed;;;Manouk;;
We doen de slaapzak aan.;naar bed;;;Manouk;;
We gaan nu lekker slapen.;naar bed;;;Manouk;;
We gaan straks lekker slapen.;naar bed;;;Manouk;;
Welke pyjama wil je aan?;naar bed;;;Manouk;;
Wie moet jou vanavond op bed leggen? Papa of mama?;naar bed;;;Manouk;;
Wil je een laken of een deken?;naar bed;;;Tobias;;
Wil je nog even knuffelen?;naar bed;;;Tobias;;
Zachtjes doen.;naar bed;;;Tobias;;
Zal ik nog even bij je komen liggen?;naar bed;;;Manouk;;
Ach, overal zit poep (diarree).;naar bed;;;Manouk;;
Als er een ongelukje gebeurt, pak je altijd even een schone onderbroek, oké?;naar de wc;;;Henrianne;;
Als je klaar bent met plassen, dan zijn je vriendjes er ook nog.;Naar de wc;;;Henrianne;;
Blijf nog even zitten.;naar de wc;;;Henrianne;;
broek uit, onderbroek uit.;Naar de wc;;;Henrianne;;
dat moet je zelf doen.;Naar de wc;;;Henrianne;;
De broek doen we gewoon lekker in de was.;Naar de wc;;;Henrianne;;
Doe je broek maar weer aan.;naar de wc;;;Henrianne;;
één keer vegen, dubbel vouwen, nog een keer vegen. En dan weggooien en nog een keer. (situatie: tijdens afvegen);Naar de wc;;;Henrianne;;
Eerst even plassen voor het slapen.;Naar de wc;;;Henrianne;;
Gaan we even je billen afvegen?;Naar de wc;;;Henrianne;;
Heb je geplast? ;Naar de wc;;;Henrianne;;
Heb je gepoept?;Naar de wc;;;Henrianne;;
Hier blijven, dan kan ik je onderbroek aan doen.;Naar de wc;;;Henrianne;;
hoe komt het?;naar de wc;;;Henrianne;;
Hou het nog maar even op;naar de wc;;;Henrianne;;
Ik denk het wel.;Naar de wc;;;Henrianne;;
Is er een ongelukje gebeurd?;naar de wc;;;Henrianne;;
is je broek nog schoon?;naar de wc;;;Henrianne;;
je hebt vandaag snelle poep, dus we moeten snel naar de wc.;naar de wc;;;Henrianne;;
Je kan beter nu even plassen, anders word je er 's nachts wakker van.;naar de wc;;;Henrianne;;
je kan de plas wel ophouden.;naar de wc;;;Diego;;
je moest wel nodig plassen hè?;Naar de wc;;;Diego;;
Kan gebeuren.;naar de wc;;;Diego;;
Klaar om af te vegen? (situatie: tijdens afvegen);naar de wc;;;Diego;;
Kom maar van het krukje af.;naar de wc;;;Diego;;
Kom maar, gaan we snel naar de wc.;Naar de wc;;;Diego;;
Kom maar, we gaan nog even plassen.;Naar de wc;;;Diego;;
kom op, het lukt wel.;Naar de wc;;;Diego;;
Kreeg je je knoop niet los?;Naar de wc;;;Diego;;
Kwam je plas te snel?;naar de wc;;;Diego;;
leg het brilletje maar op de wc.;naar de wc;;;Diego;;
Mama gaat het even schoonmaken.;Naar de wc;;;Diego;;
Mama gaat nou even het potje schoonmaken.;naar de wc;;;Diego;;
Mama moet even naar de wc.;Naar de wc;;;Diego;;
Mama zet je even op de wc.;Naar de wc;;;Diego;;
moet je naar het potje?;naar de wc;;;Diego;;
Moet je nog plassen voordat we weggaan?;Naar de wc;;;Diego;;
Moet je plassen?;naar de wc;;;Diego;;
Moeten we even je broek wisselen?;Naar de wc;;;Diego;;
net zo lang vegen totdat er geen poep meer op zit. (situatie: tijdens afvegen);naar de wc;;;Diego;;
Niet aan het wc-papier zitten.;naar de wc;;;Tobias;;
Niet met je handen in de wc.;Naar de wc;;;Tobias;;
