Zin;Context;Vertaling NGT/opmerking;Bijbehorende uitleg/grammatica;Naam;;
Daar kunnen we aardbeien plukken.;boodschappen doen;;;Manouk;;
Daar zijn mooie bloemen.;buiten;;;Henrianne;;
Kijk, daar groeien plantjes.;buiten;;;Henrianne;;
Kijk, het plantje is al groot.;buiten;;;Diego;;
We gaan naar de moestuin.;buiten;;;Diego;;
We kunnen tomaten plukken.;buiten;;;Tobias;;
Dat heb je helemaal zelf gedaan.;buiten;;;Manouk;;
Dat hebben we goed gedaan.;Complimenten;wij-tweeën;;Henrianne;;
Dat is echt lief van jou.;Complimenten;;;Henrianne;;
Dat is een goed idee.;Complimenten;;;Henrianne;;
Dit kon je eerst nog niet en nu kan je het gewoon.;Complimenten;;;Henrianne;;
Goed gedaan!;Complimenten;;;Henrianne;;
Goed gegeten.;Complimenten;;;Henrianne;;
goed opgeruimd.;complimenten;;;Henrianne;;
Goed stil gezeten.;complimenten;;;Henrianne;;
goed zo!;Complimenten;;;Henrianne;;
Het is duidelijk dat je al vier bent.;complimenten;;;Henrianne;;
het is duidelijk dat je echt al een grote meid bent.;Complimenten;;;Henrianne;;
Het was lastig, maar we hebben het toch goed gedaan.;Complimenten;;;Diego;;
Ik vind echt dat je het knap hebt gedaan.;Complimenten;;;Diego;;
Ik vind het heel goed dat je dit zo doet.;complimenten;;;Diego;;
Je bent blijven oefenen en nu kan je iets wat je eerst niet kon.;complimenten;;;Diego;2x;
Je bent echt goed in het spel.;complimenten;;;Diego;;
Je bent een schatje.;complimenten;;;Diego;;
Je bent geweldig.;complimenten;;;Diego;;
Je bent lief.;complimenten;;;Diego;;
Je bent mooi.;complimenten;;;Diego;;
Je bent superlief voor anderen.;complimenten;;;Diego;;
Je bent zo lekker bezig geweest.;complimenten;;;Diego;;
Je doet het heel goed;complimenten;;;Tobias;;
je hebt goed gedeeld.;complimenten;;;Tobias;;
Je hebt goed je best gedaan.;complimenten;;;Tobias;;
je hebt heel goed geluisterd;complimenten;;;Tobias;;
Je hebt lekker met je vriendjes gespeeld.;complimenten;;;Tobias;;
Je hebt zo goed doorgezet!;complimenten;;;Tobias;;
Je wordt al een grote jongen!;complimenten;;;Tobias;;
knap hoor.;Complimenten;;;Tobias;;
wat ben je lekker bezig.;Complimenten;;;Tobias;;
Wat ben je lief voor je broertje.;complimenten;;;Tobias;;
Wat cool dat je dat zelf gemaakt hebt.;complimenten;;;Tobias;;
Wat een mooie tekening!;complimenten;;;Tobias;;
Wat gezellig is het met je.;complimenten;;;Tobias;;
Wat goed dat je dat hebt geregeld voor jezelf.;Complimenten;;;Tobias;;
wat goed dat je even wacht tot je mond leeg is.;complimenten;;;Manouk;;
wat goed dat je het zo hebt opgelost;complimenten;;;Manouk;;
Wat goed dat je zo rustig blijft zitten.;complimenten;;;Manouk;;
Wat heb je goed meegewerkt.;complimenten;;;Manouk;;
wat lief dat je ook aan de anderen denkt.;complimenten;;;Manouk;;
Wat was het een gezellige dag.;Complimenten;;;Manouk;;
Wat word je al groot.;complimenten;;;Manouk;;
Wat zeg je dat goed.;Complimenten;;;Manouk;;
Wauw, heb je allebei je boterhammen met korst al op?;complimenten;;;Manouk;;
We hebben super goed samengewerkt.;complimenten;;;Manouk;;
Wil je een high five? Of een boks?;complimenten;;;Manouk;;
Aai maar alleen over zijn hoofdje.;complimenten;;;Manouk;;
Aai maar over zijn neus.;dieren;;;Henrianne;;
Als de kat krabt geeft hij echt aan dat je te ver gaat.;dieren;;;Henrianne;;
Als je het heel voorzichtig doet, mag je het lieveheersbeestje bekijken.;Dieren;;;Henrianne;;
Daar is een eekhoorn.;Dieren;;;Henrianne;;
De cavia voelt lekker zacht.;Dieren;;;Henrianne;;
De kat is aan het spelen.;dieren;;;Henrianne;;
De kat komt een kopje geven.;dieren;;;Henrianne;;
De poes is dood, dat is wel jammer.;dieren;;;Henrianne;;
De poes is een beetje bang.;dieren;;;Henrianne;;
De poes kan krabben.;dieren;;;Henrianne;;
De poes schrikt van jou.;dieren;;;Henrianne;;
Denk je dat het paardje lekker zacht is?;dieren;;;Henrianne;;
Die spin is echt banger voor jou dan jij voor hem.;Dieren;;OP, vergelijkingen ;Henrianne;;
Dieren kunnen niet praten, maar dat betekent niet dat ze niet kunnen voelen.;Dieren;Dieren kunnen niet praten, maar hebben wel gevoel.;;Henrianne;;
Doe de brokjes maar in het bakje.;Dieren;;lokalisatie;Diego;;
Eerst aan het baasje vragen of je de hond mag aaien.;dieren;;;Diego;;
Er loopt een poes buiten.;Dieren;;pronoun copy;Diego;;
Ga de hond maar aaien, dat vindt hij fijn.;dieren;;pronoun copy;Diego;;
Ga je mee de geitjes voeren?;Dieren;;Meervoud, directionele werkwoorden;Diego;;
Ga rustig zitten, dan komt de hond vanzelf wel naar je toe.;Dieren;;;Diego;;
Geen beestjes pakken.;Dieren;;;Diego;;
Gezellig hè, dat de poes er is.;Dieren;;;Diego;;
Het konijn vindt jou ook lief.;dieren;;;Diego;;
Hoe beweegt een eend in het water?;dieren;;;Diego;;
Hoe voelt de vacht van een konijn aan?;dieren;;uitleg vertaling vraagwoorden;Diego;;
Hoe ziet de poep van die dieren eruit?;dieren;;;Diego;;
Hoe ziet de staart van een varken eruit?;dieren;;;Diego;;
Hoeveel apen zijn er?;dieren;;;Diego;;
je hebt een hond geaaid dus dan is het extra belangrijk om je handen te wassen;dieren;;;Tobias;;
Je kunt deze muis naar de poes gooien.;dieren;;;Tobias;;
Kijk, daar zijn de leeuwen.;dieren;;;Tobias;;
Kijk, dat varken ligt lekker in de modder.;dieren;;;Tobias;;
Kijk, de poes ligt te slapen.;dieren;;;Tobias;;
Kijk, er is een eekhoorntje!;dieren;;;Tobias;;
Kom, we gaan naar de geitjes.;dieren;;;Tobias;;
Kom, we gaan naar de schapen kijken.;dieren;;;Tobias;;
Kom, we gaan naar de vlindertuin.;dieren;;;Tobias;;
Kunnen we de dieren aaien, denk je?;dieren;;;Tobias;;
Laat de poes maar met rust.;dieren;;;Tobias;;
Laten we naar de giraffen gaan.;dieren;;;Tobias;;
Let op of de poes het leuk blijft vinden, anders gaat hij krabben en dat doet pijn.;dieren;;;Tobias;;
Lief spelen met de hond.;dieren;;;Tobias;;
Misschien kunnen we de konijnen aaien.;dieren;;;Tobias;;
Misschien zien we de pauw.;dieren;;;Tobias;;
Nee, niet optillen, hij heeft zelf pootjes, hij kan zelf lopen.;dieren;;;Tobias;;
Niet de hond optillen.;dieren;;;Tobias;;
Niet de poes aan zijn staart trekken.;dieren;;;Tobias;;
niet zomaar op vreemde dieren afstappen;dieren;;;Tobias;;
Ook voor insecten moet je lief zijn.;dieren;;;Tobias;;
probeer goed te kijken of de hond het nog wel leuk vindt.;dieren;;;Manouk;;
Spinnen zijn niet eng.;dieren;;;Manouk;;
Vind je de poes lief?;dieren;;;Manouk;;
Wat weet je van die dieren? ;dieren;;;Manouk;;
We gaan de kippen tellen.;dieren;;;Manouk;;
We gaan eens kijken wat daar allemaal te doen is.;dieren;;;Manouk;;
Wees lief voor dieren;dieren;;;Manouk;;
Welke dieren kunnen we tegenkomen?;dieren;;;Manouk;;
Welke dieren willen jullie als eerste zien?;dieren;;;Manouk;;
Welke dieren wonen er allemaal op de kinderboerderij?;dieren;;;Manouk;;
Wil je zien hoe de zeehonden gevoerd worden?;dieren;;;Manouk;;
Wil jij de vissen eten geven?;dieren;;;Manouk;;
Zachtjes aaien, van voor naar achter.;dieren;;;Manouk;;
Zo, die koe is groot!;dieren;;;Manouk;;
Zullen we de hond uitlaten?;dieren;;;Manouk;;
Zullen we naar de lammetjes gaan?;dieren;;;Manouk;;
Zullen we ook nog wat water pakken voor de poes?;dieren;;;Manouk;;
De dokter gaat even in je keel kijken.;dieren;;;Manouk;;
De dokter gaat even kijken of jouw oogjes goed zijn.;dokter;;;Henrianne;;
De dokter gaat je helpen.;dokter;;;Henrianne;;
De dokter gaat nu met het lampje kijken.;dokter;;;Henrianne;;
De dokter gaat straks naar je buik kijken.;dokter;;;Henrianne;;
de dokter is heel lief.;dokter;;;Henrianne;;
De dokter komt er zo aan en dan leg je dat speelgoed weg.;dokter;;;Henrianne;;
De dokter weet heel veel van je lichaam.;dokter;;;Diego;;
Ik ga zelf ook wel eens naar de dokter, dan helpt de dokter mij ook.;Dokter;;;Diego;;
Je hoeft geen prikje bij de dokter.;dokter;;;Diego;;
Je krijgt misschien wel een pilletje of zalfje van de dokter.;dokter;;;Diego;;
kijk anders maar even weg tijdens het prikje.;dokter;;;Diego;;
Kijk maar niet naar het prikje, kijk naar de knuffel.;dokter;;;Diego;;
Mama gaat even kletsen met de mevrouw;dokter;;;Tobias;;
Mama gaat mee.;dokter;;;Tobias;;
Misschien krijg je wel een sticker.;dokter;;;Tobias;;
Vertel maar waar het pijn doet.;dokter;;;Tobias;;
We gaan even kijken hoe groot jij bent.;dokter;;;Tobias;;
We gaan even kijken of jij goed groeit.;dokter;;;Manouk;;
We gaan even op de weegschaal.;dokter;;;Manouk;;
We gaan naar de dokter.;dokter;;;Manouk;;
We moeten even de kleertjes uitdoen, zodat de dokter kan kijken.;dokter;;;Manouk;;
We zijn zo aan de beurt.;dokter;;;Manouk;;
Als je dat doet, dan wordt mama boos.;dokter;;;Manouk;;
Ben je blij?;Emoties;;pronoun copy;Henrianne;;
ben je boos, omdat je trein wordt afgepakt?;emoties;;;Henrianne;;
ben je een beetje jaloers?;emoties;;pronoun copy;Henrianne;;
Ben je er klaar voor?;emoties;;;Henrianne;;
Ben je geschrokken?;Emoties;;pronoun copy;Henrianne;;
ben je naar de juf gegaan?;Emoties;;;Henrianne;;
Ben je verdrietig?;Emoties;;pronoun copy;Henrianne;;
Ben jij verdrietig dat opa er niet meer is?;emoties;Ben je verdrietig omdat opa dood is?;;Henrianne;;
Dat gaat wel over.;Emoties;;;Henrianne;;
Dat had ik anders van je verwacht.;emoties;;;Henrianne;;
Dat heb je wel eens./Dat hoort erbij.;Emoties;;;Henrianne;;
Dat is geen fijn gevoel.;emoties;;;Henrianne;;
dat is heel vervelend;Emoties;;;Henrianne;;
dat is inderdaad niet leuk;Emoties;;;Henrianne;;
Dat is niet zo aardig.;Emoties;;;Henrianne;;
Dat vindt Casper niet leuk.;Emoties;;;Henrianne;;
De andere kindjes komen ook.;emoties;;;Henrianne;;
Dit is echt niet oké.;emoties;;;Henrianne;;
Gaat alles goed?;Emoties;;;Henrianne;;
Heb je gevraagd of hij wilde stoppen?;Emoties;;;Henrianne;2x;
heb je gezegd wat je ervan vindt?;Emoties;;;Henrianne;2x;
Heb je het naar je zin?;Emoties;;;Diego;;
Het heeft niks met jou te maken.;emoties;;;Diego;;
Het is logisch dat je nu even verdrietig bent.;Emoties;;;Diego;;
Het is oké dat je moet huilen, maar nu is het wel even klaar.;Emoties;;;Diego;;
Het is oké om een beetje bang te zijn, papa en mama zijn hier bij je.;emoties;;;Diego;;
Het komt goed.;Emoties;;;Diego;;
Hoe denk je dat hij zich voelt?;Emoties;;;Diego;;
Hoe kan dat?;emoties;;;Diego;;
iedereen is anders.;emoties;;;Diego;;
iedereen mag zijn wie die is.;Emoties;;;Diego;;
Ik begrijp dat je je zo voelt.;Emoties;;;Diego;;
Ik begrijp waarom je boos bent, maar we moeten soms dingen anders doen.;emoties;;;Diego;;
Ik ben bij je.;emoties;;;Diego;;
Ik ben nu heel boos.;Emoties;;;Diego;;
Ik ben zo blij voor je dat je dit nu is gelukt.;emoties;;;Diego;;
Ik ben zo trots op jou.;emoties;;;Diego;;
Ik hou heel veel van je.;emoties;;;Diego;;
ik laat je heel even.;Emoties;;;Diego;;
Ik snap dat je boos bent, maar het is even niet anders.;emoties;;;Diego;;
Ik snap dat je het vervelend vindt dat mama nu met je broer bezig is, maar je moet nu even wachten.;emoties;;;Diego;;
Ik snap dat je nu boos bent omdat je niet mag spelen, maar we gaan nu eten.;emoties;;;Diego;;
Ik snap het.;emoties;;;Diego;;
